station,lat,lon
04V,38.1,-106.17
04W,46.0229,-92.8952
05U,39.6042,-116.005
06D,48.8844,-99.6208
08D,48.3008,-102.406
0A9,36.3712,-82.1734
0CO,39.7939,-105.764
0E0,34.9856,-106.009
0F2,33.6017,-97.7756
0J4,31.0425,-86.3116
0R0,31.297,-89.8128
0R4,31.562,-91.5065
0S9,48.0538,-122.811
0V4,37.1417,-79.0164
0VG,36.6541,-83.2178
11R,30.2189,-96.3742
12N,41.0089,-74.7367
14Y,45.8983,-94.8739
18A,34.3404,-83.1308
19A,34.1759,-83.5616
1A5,35.22,-83.42
1A6,36.6106,-83.7374
1A9,32.4387,-86.5127
1B7,29.35,-89.4333
1F0,34.147,-97.1226
1H2,39.0705,-88.5335
1II,39.3417,-86.0305
1J0,30.8458,-85.6014
1K1,37.7744,-97.1132
1L0,30.087,-90.5827
1M4,34.2803,-87.6004
1M5,36.5929,-86.4769
1P1,43.7792,-71.7537
1QW,46.8,-120.167
1R7,31.6058,-90.4093
1S5,46.3271,-119.97
1V4,44.42,-72.02
1V6,38.428,-105.106
1YT,46.66,-120.45
20U,46.9252,-103.982
20V,40.0537,-106.369
21D,44.9975,-92.8557
22N,40.8095,-75.7615
24J,30.3001,-83.0247
28J,29.6586,-81.6889
2C8,48.7837,-97.632
2D5,46.1731,-98.0799
2DP,35.6667,-75.9
2G4,39.5803,-79.3394
2G9,40.0389,-79.015
2I0,37.3559,-87.3982
2J9,30.5979,-84.5574
2P2,45.3883,-86.924
2V5,40.1003,-102.241
2V6,40.1046,-102.713
2W6,38.3154,-76.5501
2WX,45.6044,-103.546
33V,40.7503,-106.271
36U,40.4818,-111.429
3AU,37.6716,-97.0779
3D2,45.1357,-87.1881
3F3,32.0717,-93.764
3I2,38.9146,-82.0986
3J7,33.5977,-83.139
3K3,37.9917,-101.746
3LF,39.1625,-89.6746
3N8,47.2605,-95.9281
3R7,30.2427,-92.6735
3T5,29.91,-96.95
40B,46.609,-69.531
40J,30.0719,-83.5736
42J,29.8448,-82.0475
46D,47.4511,-99.1513
46U,43.1846,-111.042
49A,34.6301,-84.5271
4A6,34.6887,-86.0059
4A7,33.3891,-84.3324
4A9,34.4737,-85.7214
4BM,39.05,-105.514
4I3,40.3289,-82.5261
4I7,39.6336,-86.8138
4M9,36.4042,-90.6479
4MR,34.3,-103.8
4O4,33.9094,-94.8594
4V0,40.0956,-108.759
54J,30.7311,-86.1538
5A6,33.465,-89.7302
5C1,29.7239,-98.6946
5H4,47.7912,-99.9317
5M9,37.3363,-88.1097
5R8,30.4411,-93.4736
5SM,39.426,-107.379
5T9,28.8571,-100.513
65S,48.726,-116.295
66R,29.6411,-96.5158
6A1,32.5674,-84.2507
6A2,33.227,-84.2749
6B0,43.9855,-73.0955
6B9,42.914,-76.4408
6I2,37.6352,-85.2418
6L4,37.8557,-81.9159
6P9,32.4317,-98.5948
6R3,30.3564,-95.008
6R6,30.046,-102.213
74V,40.2783,-110.051
79J,31.3087,-86.3938
7BM,38.7825,-106.218
7L2,46.2206,-100.246
7N0,29.9527,-90.0827
7R3,29.6931,-91.0986
7W4,37.9658,-77.7459
7W6,35.5624,-75.9552
82C,43.8387,-90.1377
82V,41.1533,-104.13
8A0,34.2291,-86.2558
8D3,45.6689,-96.9914
8W2,38.6557,-78.7081
96D,48.9406,-97.9028
9A5,34.6885,-85.2903
9D7,48.48,-99.2364
9F2,29.1,-90.2
9L2,34.9908,-117.863
9MN,44.0198,-92.4831
9V9,43.7667,-99.3183
A08,32.5105,-87.3848
A39,32.9908,-111.919
AAA,40.1587,-89.335
AAF,29.7276,-85.0274
AAO,37.75,-97.22
AAT,41.4914,-120.564
ABE,40.6508,-75.4492
ABH,38.7578,-104.308
ABI,32.4106,-99.6821
ABQ,35.0419,-106.616
ABR,45.45,-98.42
ABY,31.5355,-84.1945
ACB,44.9886,-85.1984
ACJ,32.1108,-84.1889
ACK,41.2531,-70.0603
ACP,30.75,-92.69
ACQ,44.0735,-93.5529
ACT,31.618,-97.2283
ACV,40.9781,-124.109
ACY,39.4576,-74.5772
ADC,46.4503,-95.2109
ADF,34.0998,-93.0661
ADG,41.8677,-84.0773
ADH,34.8043,-96.6712
ADM,34.3032,-97.0195
ADS,32.9686,-96.8364
ADU,41.6994,-94.9204
ADW,38.8108,-76.867
AEG,35.1452,-106.795
AEJ,38.8142,-106.121
AEL,43.6815,-93.3672
AEX,31.3347,-92.5586
AFF,38.9697,-104.813
AFJ,40.1365,-80.2902
AFK,40.6069,-95.8657
AFN,42.8051,-72.003
AFO,42.7112,-110.942
AFP,35.0206,-80.0771
AFW,32.9716,-97.3179
AGC,40.3547,-79.9217
AGS,33.3699,-81.9645
AHN,33.9486,-83.3264
AHQ,41.2406,-96.5946
AIA,42.0572,-102.8
AIB,38.2388,-108.563
AID,40.1086,-85.613
AIG,45.1542,-89.1107
AIK,33.6494,-81.685
AIO,41.4059,-95.0465
AIT,46.5484,-93.6768
AIZ,38.096,-92.5495
AJG,38.6065,-87.7267
AJL,43.674,-110.031
AJO,33.8977,-117.602
AJR,34.4998,-83.5567
AJZ,38.7864,-108.064
AKH,35.1967,-81.1558
AKO,40.1756,-103.222
AKQ,36.9839,-77.0072
AKR,41.0375,-81.4669
ALB,42.7576,-73.8036
ALI,27.7409,-98.0269
ALK,31.6072,-110.428
ALM,32.8399,-105.991
ALN,38.8899,-90.046
ALO,42.5544,-92.4013
ALS,37.4389,-105.861
ALW,46.0948,-118.289
ALX,32.9147,-85.963
AMA,35.2194,-101.706
AMG,31.5361,-82.5066
AMN,43.3221,-84.6879
AMW,41.9904,-93.6185
ANB,33.5882,-85.8581
AND,34.4946,-82.7094
ANE,45.1449,-93.2102
ANJ,46.4792,-84.3684
ANK,38.5383,-106.049
ANQ,41.6397,-85.0835
ANW,42.5792,-99.993
AOH,40.7069,-84.0267
AOO,40.2964,-78.32
APA,39.57,-104.85
APC,38.2075,-122.28
APF,26.1525,-81.7753
APG,39.4662,-76.1688
APN,45.0717,-83.5644
APY,26.9688,-99.2489
AQO,30.7836,-98.6619
AQP,45.2275,-96.0043
AQR,34.4,-96.15
AQV,31.3569,-93.1761
AQW,42.6962,-73.1702
AQX,32.9951,-81.2703
ARA,30.0292,-91.8845
ARB,42.224,-83.7397
ARG,36.1247,-90.9251
ARM,29.2543,-96.1544
ARR,41.77,-88.48
ART,43.9888,-76.0262
ARV,45.9279,-89.7309
ARW,32.4122,-80.6344
ASD,30.3433,-89.8222
ASE,39.2232,-106.869
ASG,36.1764,-94.1193
ASH,42.7818,-71.5148
ASJ,36.3,-77.17
ASL,32.5205,-94.3078
ASN,33.5695,-86.0512
AST,46.1569,-123.882
ASW,41.2747,-85.8401
ASX,46.5487,-90.9189
ATL,33.6301,-84.4418
ATP,27.1956,-90.0269
ATS,32.8525,-104.468
ATT,30.3208,-97.7601
ATW,44.2581,-88.5191
ATY,44.914,-97.1547
AUD,29.917,-90.1299
AUG,44.32,-69.8
AUH,40.8941,-97.9946
AUM,43.6647,-92.9333
AUN,38.9548,-121.082
AUO,32.6151,-85.434
AUS,30.1945,-97.6699
AUW,44.9262,-89.6266
AVC,36.6883,-78.0545
AVK,36.7732,-98.67
AVL,35.4319,-82.5375
AVP,41.3335,-75.7227
AVQ,32.4096,-111.218
AVX,33.405,-118.416
AWG,41.2751,-91.6748
AWM,35.1351,-90.2344
AWO,48.1608,-122.159
AXA,43.0796,-94.2724
AXH,29.5061,-95.4769
AXN,45.8663,-95.3947
AXO,29.25,-89.9667
AXS,34.6988,-99.3385
AXV,40.4934,-84.2989
AXX,36.422,-105.29
AYS,31.2491,-82.3955
AZC,36.9599,-113.014
AZE,31.8847,-82.6474
AZO,42.2347,-85.5519
BAB,39.1361,-121.437
BAC,46.9412,-98.018
BAD,32.5019,-93.6626
BAF,42.1578,-72.7161
BAK,39.2619,-85.8963
BAN,38.3636,-119.52
BAX,43.7802,-82.9854
BAZ,29.709,-98.045
BBB,45.3319,-95.6506
BBD,31.1793,-99.3239
BBF,27.833,-96.014
BBG,36.5321,-93.2005
BBP,34.6217,-79.7344
BBW,41.4365,-99.6385
BCB,37.2076,-80.4078
BCE,37.7064,-112.146
BCK,44.2507,-90.8553
BCT,26.38,-80.11
BDE,48.7284,-94.6122
BDG,37.5828,-109.483
BDH,45.1177,-95.1304
BDL,41.9381,-72.6825
BDN,44.0946,-121.2
BDR,41.1583,-73.1289
BDU,40.0394,-105.226
BEA,28.3619,-97.791
BED,42.4699,-71.289
BEH,42.1286,-86.4285
BFD,41.8031,-78.6401
BFF,41.874,-103.596
BFI,47.53,-122.3
BFL,35.4344,-119.054
BFM,30.6268,-88.0681
BFW,47.2521,-91.4098
BGD,35.7009,-101.394
BGE,30.9716,-84.6369
BGF,35.1775,-86.0662
BGM,42.2086,-75.9797
BGR,44.8074,-68.8281
BHB,44.4498,-68.3616
BHC,31.7138,-82.3938
BHK,46.3476,-104.259
BHM,33.5655,-86.7449
BID,41.17,-71.58
BIE,40.3013,-96.7541
BIF,31.8495,-106.38
BIH,37.3731,-118.364
BIJ,31.3975,-84.8948
BIL,45.8069,-108.542
BIS,46.7727,-100.746
BIV,42.7461,-86.0967
BIX,30.4104,-88.9244
BJC,39.9088,-105.117
BJI,47.5094,-94.9337
BJJ,40.8748,-81.8882
BKB,31.0964,-92.9781
BKD,32.719,-98.891
BKE,44.8374,-117.809
BKF,39.7017,-104.752
BKL,41.5175,-81.6833
BKN,36.7451,-97.3496
BKS,27.2067,-98.1211
BKT,37.0742,-77.9575
BKV,28.4736,-82.4554
BKW,37.7873,-81.1242
BKX,44.3048,-96.8169
BLF,37.2958,-81.2077
BLH,33.6192,-114.717
BLI,48.7927,-122.537
BLM,40.18,-74.13
BLU,39.275,-120.71
BLV,38.5452,-89.8352
BMC,41.5524,-112.062
BMG,39.146,-86.6167
BMI,40.4771,-88.9159
BML,44.5761,-71.1786
BMQ,30.7389,-98.2386
BMT,30.0702,-94.2151
BNA,36.1189,-86.6892
BNL,33.2578,-81.3883
BNO,43.595,-118.956
BNW,42.0486,-93.8486
BOI,43.5667,-116.241
BOK,42.0746,-124.29
BOS,42.3606,-71.0097
BOW,27.9434,-81.7834
BPC,35.8893,-101.03
BPG,32.2126,-101.522
BPI,42.5851,-110.111
BPK,36.37,-92.47
BPT,29.9521,-94.0261
BQK,31.2588,-81.4665
BQP,32.7561,-91.8806
BQX,28.4936,-95.7244
BRD,46.4047,-94.1308
BRL,40.7729,-91.1255
BRO,25.9146,-97.4231
BTA,41.4148,-96.109
BTL,42.3073,-85.2515
BTM,45.9548,-112.497
BTP,40.7769,-79.9497
BTR,30.5372,-91.1469
BTV,44.47,-73.15
BUF,42.9408,-78.7358
BUR,34.2007,-118.359
BUU,42.6907,-88.3046
BUY,36.0485,-79.4749
BVE,29.3333,-89.4075
BVI,40.7725,-80.3914
BVN,41.7286,-98.0558
BVO,36.7625,-96.0112
BVS,48.47,-122.42
BVU,35.9475,-114.861
BVX,35.7261,-91.6472
